
"((-63.7404341, -21.6520807), (-63.7404447, -21.652054))",unclassified,road
"((-49.1567956, -22.8659309), (-49.1568849, -22.8658012))",motorway,road
"((-46.8860573, -23.4067754), (-46.8860079, -23.4063834))",unclassified,road
"((-48.6794527, -27.9606649), (-48.6794137, -27.9607455))",tertiary,road
"((-52.5882483, -24.0040499), (-52.5882255, -24.0049051))",unclassified,road
"((-77.3565857, -8.1373799), (-77.3570712, -8.1374622))",service,road
"((-46.5414638, -23.5748725), (-46.5414366, -23.5747698))",primary,road
"((-77.0546112, -11.9513974), (-77.054277, -11.9515335))",primary,road
"((-45.1688592, -22.8198665), (-45.1684947, -22.8196578))",service,road
"((-52.9320276, -22.6280149), (-52.9320919, -22.6319002))",unclassified,road
"((-56.1533201, -21.4867741), (-56.1519681, -21.4862268))",tertiary,road
"((-55.084835, -20.1567163), (-55.0849879, -20.1561724))",unclassified,road
"((-67.1105605, -17.9739972), (-67.1105637, -17.9740096))",primary,road
"((-77.1458599, -11.7841514), (-77.1460126, -11.7837931))",service,road
"((-75.2319456, -12.0532029), (-75.2324344, -12.053195))",primary,road
"((-72.3166439, -14.0676522), (-72.3163596, -14.0676483))",service,road
"((-79.8462537, -6.7446381), (-79.8467097, -6.7441719))",tertiary,road
"((-47.4799996, -23.5047003), (-47.4800136, -23.504718))",service,road
"((-47.0802405, -22.9476162), (-47.0809062, -22.946896))",tertiary,road
"((-78.6082426, -7.0844701), (-78.6083928, -7.0846005))",unclassified,road
"((-49.0462551, -26.8999244), (-49.0462665, -26.899983))",secondary,road
"((-56.8445961, -14.4502959), (-56.8443364, -14.4502186))",primary,road
"((-76.8570444, -12.0078769), (-76.8565519, -12.0077589))",service,road
"((-46.5353642, -22.9842546), (-46.5353186, -22.9842571))",service,road
"((-75.712816, -14.0675005), (-75.7128094, -14.0675663))",tertiary,road
"((-49.3211325, -25.3882633), (-49.3214044, -25.3879453))",tertiary,road
"((-52.5936359, -23.2880662), (-52.5937115, -23.2880994))",secondary,road
"((-46.2802371, -22.7182384), (-46.280498, -22.7183126))",unclassified,road
"((-80.5057137, -1.3915163), (-80.505486, -1.3916464))",unclassified,road
"((-46.7788133, -23.6520163), (-46.7789822, -23.6518301))",secondary,road
"((-78.5528804, -0.2979356), (-78.5528295, -0.2979445))",service,road
"((-74.6465233, -12.4587949), (-74.6464737, -12.4586194))",unclassified,road
"((-66.1479354, -17.3866575), (-66.1477288, -17.386363))",secondary,road
"((-78.50258, -7.1918241), (-78.5025742, -7.1914494))",unclassified,road
"((-46.8521575, -23.3462703), (-46.8522008, -23.3463598))",service,road
"((-47.1287928, -23.3096693), (-47.1287405, -23.3096521))",service,road
"((-50.9269624, -17.7991317), (-50.9267796, -17.7989923))",tertiary,road
"((-49.3979196, -25.426471), (-49.3982139, -25.42611))",service,road
"((-66.0997379, -17.4004901), (-66.0995468, -17.4012981))",secondary,road
"((-49.9109557, -22.9663494), (-49.9103737, -22.9670915))",service,road
"((-46.8895551, -23.5179729), (-46.8895319, -23.517864))",primary,road
"((-70.1669372, -17.9441113), (-70.1667531, -17.9436505))",unclassified,road
"((-48.6267376, -27.6030587), (-48.626769, -27.6029991))",service,road
