start_indices,desitnation_indices,start_loc,end_loc,cost,truth
"(325, 143)","(409, 388)","55.291666666666664,-4.808333333333334","54.59166666666667,-2.7666666666666666",236.60183715820312,172.51666666666668
"(409, 388)","(446, 572)","54.59166666666667,-2.7666666666666666","54.28333333333333,-1.2333333333333334",162.91741943359375,109.83333333333333
"(446, 572)","(43, 329)","54.28333333333333,-1.2333333333333334","57.641666666666666,-3.2583333333333333",521.9151000976562,409.78333333333336
"(43, 329)","(212, 247)","57.641666666666666,-3.2583333333333333","56.233333333333334,-3.941666666666667",241.82180786132812,185.58333333333334
"(212, 247)","(419, 296)","56.233333333333334,-3.941666666666667","54.50833333333333,-3.533333333333333",224.2576141357422,183.15
"(419, 296)","(489, 555)","54.50833333333333,-3.533333333333333","53.925,-1.375",233.8251190185547,153.78333333333333
"(489, 555)","(446, 444)","53.925,-1.375","54.28333333333333,-2.3000000000000003",120.79631042480469,85.13333333333334
"(446, 444)","(291, 278)","54.28333333333333,-2.3000000000000003","55.575,-3.6833333333333336",175.44435119628906,142.55
"(291, 278)","(445, 544)","55.575,-3.6833333333333336","54.291666666666664,-1.4666666666666668",240.5863037109375,163.83333333333334
"(445, 544)","(337, 526)","54.291666666666664,-1.4666666666666668","55.19166666666667,-1.6166666666666671",99.42092895507812,93.68333333333334
"(337, 526)","(232, 293)","55.19166666666667,-1.6166666666666671","56.06666666666667,-3.5583333333333336",230.76092529296875,154.03333333333333
"(232, 293)","(67, 273)","56.06666666666667,-3.5583333333333336","57.44166666666667,-3.725",225.90457153320312,160.68333333333334
"(67, 273)","(404, 468)","57.44166666666667,-3.725","54.63333333333333,-2.1",449.9922790527344,328.0
"(404, 468)","(437, 574)","54.63333333333333,-2.1","54.358333333333334,-1.2166666666666668",106.98297119140625,82.76666666666667
"(437, 574)","(366, 501)","54.358333333333334,-1.2166666666666668","54.95,-1.8250000000000002",102.67271423339844,88.03333333333333
"(366, 501)","(88, 346)","54.95,-1.8250000000000002","57.266666666666666,-3.1166666666666667",374.00213623046875,324.1333333333333
"(88, 346)","(159, 310)","57.266666666666666,-3.1166666666666667","56.675,-3.4166666666666665",105.69944763183594,96.03333333333333
"(159, 310)","(429, 623)","56.675,-3.4166666666666665","54.425,-0.8083333333333336",390.591552734375,311.8833333333333
"(429, 623)","(140, 370)","54.425,-0.8083333333333336","56.833333333333336,-2.9166666666666665",438.1050720214844,342.45
"(140, 370)","(295, 180)","56.833333333333336,-2.9166666666666665","55.541666666666664,-4.5",220.53160095214844,167.13333333333333
"(295, 180)","(164, 381)","55.541666666666664,-4.5","56.63333333333333,-2.825",198.69615173339844,141.35
