geometry,class,subtype
"((-47.3995652, -22.7395202), (-47.3994526, -22.7394782))",secondary,road
"((-65.942684, -17.8673568), (-65.9425512, -17.8670837))",primary,road
"((-68.2645995, -16.627275), (-68.2646921, -16.6272852))",unclassified,road
"((-74.5520559, -13.345151), (-74.5521504, -13.3451745))",unclassified,road
"((-46.3515349, -23.1224489), (-46.3515413, -23.1225784))",unclassified,road
"((-78.5873844, -1.0429925), (-78.5881649, -1.0430612))",tertiary,road
"((-50.326277, -22.5921548), (-50.3262448, -22.5923492))",unclassified,road
"((-47.7936539, -24.6016241), (-47.7933045, -24.6020923))",unclassified,road
"((-78.7062093, -1.2511068), (-78.7061664, -1.2509298))",service,road
"((-46.5138594, -23.7443711), (-46.51383, -23.7442372))",service,road
"((-67.5691998, -19.5194429), (-67.5689198, -19.5192007))",tertiary,road
"((-77.1084063, -0.5687041), (-77.1083701, -0.5686237))",unclassified,road
"((-61.7648309, -11.335002), (-61.764729, -11.3349968))",unclassified,road
"((-46.8370279, -23.5611318), (-46.8371576, -23.561035))",secondary,road
"((-76.9527983, -12.1919372), (-76.9520078, -12.1914749))",tertiary,road
"((-47.3768449, -22.7282699), (-47.3770165, -22.728213))",tertiary,road
"((-70.3347623, -15.6328176), (-70.3351781, -15.6326045))",primary,road
"((-46.5789939, -23.6473144), (-46.5785591, -23.6464308))",service,road
"((-48.4110008, -27.4393718), (-48.4110151, -27.4393692))",secondary,road
"((-58.1541067, -12.133651), (-58.1541581, -12.133752))",unclassified,road
"((-46.4104798, -23.6129259), (-46.4104387, -23.6129752))",tertiary,road
"((-66.627478, -14.9269654), (-66.6265824, -14.9262372))",service,road
"((-69.1906955, -15.6378696), (-69.1903647, -15.638518))",secondary,road
"((-48.9178118, -22.996253), (-48.9184622, -22.9970389))",unclassified,road
"((-51.4795065, -21.8245145), (-51.477615, -21.8197641))",tertiary,road
"((-54.6617971, -20.5073994), (-54.6620137, -20.5081153))",tertiary,road
"((-65.2240012, -20.8752407), (-65.2239097, -20.8752975))",tertiary,road
"((-77.9537734, -6.240709), (-77.9537909, -6.2406277))",tertiary,road
"((-71.5456991, -16.308109), (-71.5457696, -16.3080955))",tertiary,road
"((-47.0146075, -23.5499942), (-47.0145814, -23.5500046))",unclassified,road
"((-76.9197169, -12.2541208), (-76.9197021, -12.2540061))",service,road
"((-66.0178357, -17.5871072), (-66.0179835, -17.5872804))",primary,road
"((-79.8871329, -2.1443443), (-79.8870675, -2.1444187))",secondary,road
